title,type,vendor,product,version,update,raw_cpe,cpe_id,last_modified
3Com 3CDaemon,Application,3Com,3Cdaemon,-,,cpe:2.3:a:3com:3cdaemon:-:*:*:*:*:*:*:*,BAE41D20-D4AF-4AF0-AA7D-3BD04DA402A7,2011-01-12T14:35:43.723
3Com 3CServer,Application,3Com,3Cserver,-,,cpe:2.3:a:3com:3cserver:-:*:*:*:*:*:*:*,FFADC2E2-6888-490E-98CB-6D86D2E893A6,2011-01-12T14:35:43.867
3Com 3CTftpSvc,Application,3Com,3Ctftpsvc,-,,cpe:2.3:a:3com:3ctftpsvc:-:*:*:*:*:*:*:*,70541E97-4633-4EAF-8A65-82B9A844FBF5,2011-01-12T14:35:44.163
3Com Network Supervisor,Application,3Com,3C15100D,-,,cpe:2.3:a:3com:3c15100d:-:*:*:*:*:*:*:*,78E49997-705F-4877-901D-85725D2B02DC,2011-01-12T14:35:43.020
3Com WebCache 1000,Application,3Com,3C16115-Us,-,,cpe:2.3:a:3com:3c16115-us:-:*:*:*:*:*:*:*,7E93ED40-CB5F-4507-8C9E-48725C1CB4AA,2011-01-12T14:35:43.163
3Com WebCache 3000,Application,3Com,3C16116-Us,-,,cpe:2.3:a:3com:3c16116-us:-:*:*:*:*:*:*:*,11822DF2-133C-47A5-ACFC-6814E4A63218,2011-01-12T14:35:43.443
ACT COMPASS,Application,Act,Compass,-,,cpe:2.3:a:act:compass:-:*:*:*:*:*:*:*,5CAF37C2-7741-4653-8DE8-C4D94AA7128C,2007-09-14T17:36:49.090
ActivCard ActivCard Gold CAC,Application,Activcard,Activcard Gold For Cac,-,,cpe:2.3:a:activcard:activcard_gold_for_cac:-:*:*:*:*:*:*:*,49D133F7-755D-47A2-911E-A796013B5679,2008-04-14T17:56:43.987
ActivCard Netsign CAC,Application,Saflink,Netsign Cac,-,,cpe:2.3:a:saflink:netsign_cac:-:*:*:*:*:*:*:*,7F7527D8-B67A-47BD-AB5C-937149242918,2008-04-01T13:54:15.493
ActiveState ActivePerl,Application,Activestate,Activeperl,-,,cpe:2.3:a:activestate:activeperl:-:*:*:*:*:*:*:*,BE438F25-4C13-48B2-B8E7-159412D2F5CA,2007-09-14T17:36:49.090
ActiveState ActivePython,Application,Activestate,Activepython,-,,cpe:2.3:a:activestate:activepython:-:*:*:*:*:*:*:*,EAE3801C-14C8-471B-8650-582E0D565A6D,2007-09-14T17:36:49.090
ActivIdentity ActivClient CAC,Application,Actividentity,Activclient Cac,-,,cpe:2.3:a:actividentity:activclient_cac:-:*:*:*:*:*:*:*,A4F9733C-9FD2-4B73-96CC-B24445A41BF0,2007-09-14T17:36:49.090
Adobe Acrobat,Application,Adobe,Acrobat,-,,cpe:2.3:a:adobe:acrobat:-:*:*:*:*:*:*:*,2E6C7F5E-2AA4-495F-8119-D8AEBCD9C2D6,2009-03-05T17:16:58.983
Adobe Acrobat 3D,Application,Adobe,Acrobat 3D,-,,cpe:2.3:a:adobe:acrobat_3d:-:*:*:*:*:*:*:*,7E02654A-06C3-41B1-B05D-B48AB82F14A8,2009-03-05T17:16:59.047
Adobe Acrobat Business Tools,Application,Adobe,Acrobat Business Tools,-,,cpe:2.3:a:adobe:acrobat_business_tools:-:*:*:*:*:*:*:*,29C18B93-5CD7-4000-AE04-0BCD8F79F9AC,2009-03-05T17:16:59.110
Adobe Acrobat Elements,Application,Adobe,Acrobat Elements,-,,cpe:2.3:a:adobe:acrobat_elements:-:*:*:*:*:*:*:*,D09E4B5A-E930-45C6-8D7A-E98CCE7CFA6E,2009-03-05T17:16:59.170
Adobe Acrobat Reader,Application,Adobe,Acrobat Reader,-,,cpe:2.3:a:adobe:acrobat_reader:-:*:*:*:*:*:*:*,AA40654E-56B3-42D1-9755-EF17127BDD92,2009-03-05T17:16:59.233
Adobe Adobe Content Server,Application,Adobe,Adobe Content Server,-,,cpe:2.3:a:adobe:adobe_content_server:-:*:*:*:*:*:*:*,7671AC18-9E61-484B-9DC3-2AA26BA0A357,2009-03-05T17:16:59.407
Adobe Adobe Integrated Runtime (AIR),Application,Adobe,Adobe Air,-,,cpe:2.3:a:adobe:adobe_air:-:*:*:*:*:*:*:*,3A4E6FA0-A994-47A2-8065-389C8A20AFC0,2011-12-20T18:46:09.773
Adobe Adobe PHP SDK,Application,Adobe,Adobe Php Ria Sdk,-,,cpe:2.3:a:adobe:adobe_php_ria_sdk:-:*:*:*:*:*:*:*,73D24CF5-6BF5-408B-B6D8-224FDB36CF99,2009-03-05T17:16:59.467
Adobe Breeze Licensed Server,Application,Adobe,Breeze Licensed Server,-,,cpe:2.3:a:adobe:breeze_licensed_server:-:*:*:*:*:*:*:*,6AF619DF-B38B-4B00-8D2E-BA58614304BA,2009-03-05T17:16:59.530
Adobe Captivate,Application,Adobe,Captivate,-,,cpe:2.3:a:adobe:captivate:-:*:*:*:*:*:*:*,C849FC5F-7970-4770-8A3A-416DCFDF9A45,2009-11-25T18:26:20.527
Adobe Contribute 4.1,Application,Adobe,Contribute,4.1,,cpe:2.3:a:adobe:contribute:4.1:*:*:*:*:*:*:*,6B5D4975-E447-4AB9-BA07-1D84DF0FFEFF,2009-11-25T18:26:20.637
Adobe Creative Suite,Application,Adobe,Creative Suite,-,,cpe:2.3:a:adobe:creative_suite:-:*:*:*:*:*:*:*,C3D8F123-B178-43E2-8305-2F9D83FFA28B,2009-03-05T17:16:59.843
Adobe Director,Application,Adobe,Director,-,,cpe:2.3:a:adobe:director:-:*:*:*:*:*:*:*,86DD070B-7015-4929-ADBB-63DE0FAD9677,2009-03-05T17:16:59.967
Adobe Document Server,Application,Adobe,Document Server,-,,cpe:2.3:a:adobe:document_server:-:*:*:*:*:*:*:*,697A7FD4-5471-4228-8726-E7E4FB113C21,2009-03-05T17:17:00.030
Adobe Download Manager,Application,Adobe,Download Manager,-,,cpe:2.3:a:adobe:download_manager:-:*:*:*:*:*:*:*,EA1DDF77-7A27-47F2-9C17-5EFE0C6CD66D,2009-03-05T17:17:00.093
Adobe Dreamweaver 9.0 (CS3),Application,Adobe,Dreamweaver,9.0,,cpe:2.3:a:adobe:dreamweaver:9.0:*:*:*:*:*:*:*,46F23FC8-F2EA-476B-AC7F-8C32E6A6922B,2010-08-27T13:09:19.987
Adobe Digital Editions,Application,Adobe,Digital Editions,-,,cpe:2.3:a:adobe:digital_editions:-:*:*:*:*:*:*:*,35ABA78E-20AC-4F5B-96EB-310FFAC7DDFC,2013-07-31T15:20:19.297
Adobe eLicensing,Application,Adobe,Elicensing,-,,cpe:2.3:a:adobe:elicensing:-:*:*:*:*:*:*:*,273A1B1E-C929-427C-8E95-DE6C75E3F821,2009-03-05T17:17:00.217
Adobe Fireworks 9.0,Application,Adobe,Fireworks,9.0,,cpe:2.3:a:adobe:fireworks:9.0:*:*:*:*:*:*:*,22380B49-7145-4265-9E58-3432CFD7BC9E,2009-11-25T18:26:20.933
Adobe Flash Player,Application,Adobe,Flash Player,-,,cpe:2.3:a:adobe:flash_player:-:*:*:*:*:*:*:*,0902DD43-0766-4492-8D0F-F7D1B0003D46,2009-03-05T17:17:00.280
Adobe Flex,Application,Adobe,Flex Sdk,-,,cpe:2.3:a:adobe:flex_sdk:-:*:*:*:*:*:*:*,336B0179-F81B-4541-88E3-EA5BF908C88B,2009-03-05T17:17:01.203
